GENE             CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
C1ORF174           1    3805697    3816857      7       5  1740000      0.36892      0.35609
AJAP1              1    4715105    4843851      2       1  1740000     -0.97635      0.83555
NPHP4              1    5922870    6052618     20      15  1740000     -0.30963      0.62158
KCNAB2             1    6052358    6161253      6       4  1740000     -0.99925      0.84116
CHD5               1    6161847    6240194      8       5  1740000      -2.2881      0.98893
RNF207             1    6266189    6281359      7       4  1740000        0.516      0.30293
ICMT               1    6281253    6296044      8       5  1740000     -0.54028       0.7055
HES3               1    6304252    6305638      2       1  1740000      -2.5264      0.99424
GPR153             1    6307406    6321035      2       1  1740000      -2.5264      0.99424
ESPN               1    6484836    6521004      5       2  1740000       0.3703      0.35558
TNFRSF25           1    6520787    6527432     12       6  1740000      0.54899      0.29151
PLEKHG5            1    6526152    6580121     15       7  1740000      0.20763      0.41776
NOL9               1    6581407    6614658      5       3  1740000     0.081699      0.46744
TAS1R1             1    6614987    6639817     19      13  1740000      0.58492       0.2793
ZBTB48             1    6640051    6649340     16      11  1740000       1.1061      0.13435
KLHL21             1    6650784    6662958      4       2  1740000      0.67929      0.24848
PHF13              1    6673756    6684093      1       1  1740000       1.4434      0.07446
THAP3              1    6684925    6695646      4       2  1740000      0.47443       0.3176
DNAJC11            1    6694228    6761966      6       4  1740000       2.0012     0.022688
CAMTA1             1    6845384    7829766     16      12  1740000     -0.69295      0.75583
VAMP3              1    7831329    7841492      1       1  1740000      0.26891        0.394
PER3               1    7844413    7905241     18      10  1740000     -0.11917      0.54743
UTS2               1    7907672    7913551      5       3  1740000       1.5817     0.056854
TNFRSF9            1    7975931    8003225      2       1  1740000     -0.24152      0.59543
PARK7              1    8021714    8045342      3       1  1740000       1.1597      0.12308
ERRFI1             1    8071779    8086393      2       1  1740000        1.596     0.055242
SLC45A1            1    8378171    8404227      3       2  1740000      -1.4548      0.92714
RERE               1    8412464    8877699     10       6  1740000      0.32862      0.37122
ENO1               1    8921059    8939151      2       1  1740000       1.3023     0.096414
CA6                1    9005893    9035151      6       3  1740000       2.3038     0.010618
SLC2A7             1    9063359    9086404      7       4  1740000      0.18643      0.42605
SLC2A5             1    9097005    9131763      3       2  1740000       1.5261     0.063489
GPR157             1    9163472    9189229      1       1  1740000       0.9284       0.1766
H6PD               1    9294822    9331396      9       6  1740000     -0.13324        0.553
SLC25A33           1    9599528    9642831      1       1  1740000    -0.061953       0.5247
TMEM201            1    9648932    9674935      3       1  1740000      -1.4076      0.92038
PIK3CD             1    9711789    9789172      8       5  1740000     -0.52216      0.69922
CLSTN1             1    9789079    9884550      9       6  1740000     0.019574      0.49219
LZIC               1    9982168   10003460      1       1  1740000      0.41492       0.3391
NMNAT1             1   10003486   10045556      1       1  1740000      -0.7749       0.7808
RBP7               1   10057255   10076078      2       1  1740000       1.0776      0.14061
UBE4B              1   10093041   10241297     17       5  1740000       1.0266      0.15231
KIF1B              1   10270606   10441664     27      13  1740000      0.58593      0.27896
PGD                1   10458884   10480565     10       5  1740000      0.52912      0.29836
APITD1             1   10489944   10510239     20       7  1740000     -0.58391      0.72036
APITD1-CORT        1   10490159   10512060     23       9  1740000      -0.8609      0.80535
CORT               1   10509776   10512060      9       4  1740000      -1.2356      0.89171
DFFA               1   10520588   10532613     11       6  1740000     -0.38264      0.64901
PEX14              1   10535003   10690815     44       9  1740000      0.40675       0.3421
CASZ1              1   10696661   10856733     15       9  1740000      0.24142      0.40461
C1ORF127           1   11006530   11042094     19      10  1740000     0.049218      0.48037
TARDBP             1   11072462   11085549      4       2  1740000       1.2702        0.102
MASP2              1   11086580   11107296      7       4  1740000       1.4617     0.071905
SRM                1   11114649   11120091      1       1  1740000      0.71372       0.2377
EXOSC10            1   11126675   11159961      4       2  1740000      0.51848      0.30206
MTOR               1   11166588   11322614     10       7  1740000      -1.2356      0.89169
ANGPTL7            1   11249346   11256038      3       2  1740000      0.18248       0.4276
UBIAD1             1   11333255   11348491      1       1  1740000     -0.15021       0.5597
PTCHD2             1   11539295   11597640      7       4  1740000       1.2727      0.10156
FBXO2              1   11707924   11714888      3       2  1740000     -0.37374       0.6457
FBXO44             1   11714432   11723384      5       3  1740000      0.23879      0.40563
FBXO6              1   11724150   11734411      6       4  1740000     -0.80679      0.79011
MAD2L2             1   11734537   11751678      4       2  1740000     -0.13565      0.55395
DRAXIN             1   11751781   11780336      4       2  1740000     0.063688      0.47461
AGTRAP             1   11796142   11810828      1       1  1740000     -0.41601       0.6613
MTHFR              1   11845787   11866160     13       6  1740000      0.16893      0.43293
CLCN6              1   11866153   11903201     13       7  1740000      0.55961      0.28787
NPPA               1   11905766   11907840      8       4  1740000      0.57344      0.28317
NPPB               1   11917521   11918992      9       4  1740000   -0.0077695       0.5031
KIAA2013           1   11979645   11986485      2       1  1740000     -0.47118      0.68124
PLOD1              1   11994724   12035599      6       4  1740000       1.3631     0.086424
MFN2               1   12040238   12073572     10       6  1740000      0.43533      0.33166
MIIP               1   12079299   12092106      7       4  1740000      0.30605      0.37978
TNFRSF8            1   12123434   12204264      5       3  1740000      0.24966      0.40143
TNFRSF1B           1   12227044   12269279      4       2  1740000       0.4276      0.33447
VPS13D             1   12290101   12572099     19      15  1740000       1.8951     0.029039
AADACL4            1   12704566   12727097      2       1  1740000     -0.15698      0.56237
AADACL3            1   12776118   12788726      7       4  1740000     -0.81356      0.79205
C1ORF158           1   12806163   12821102      2       1  1740000      0.78124      0.21733
PRAMEF12           1   12834984   12838049      5       3  1740000      -1.0397      0.85076
PRAMEF11           1   12884468   12891264      1       1  1740000      -1.1165       0.8679
PRAMEF2            1   12916941   12921764      4       1  1740000      0.16414      0.43481
HNRNPCL2           1   13182960   13184326      1       1  1740000      0.44821        0.327
LRRC38             1   13801445   13840242      4       2  1740000      0.74044      0.22952
PDPN               1   13910252   13944452      3       2  1740000      0.18028      0.42846
PRDM2              1   14026714   14151574     15       8  1740000     -0.68243      0.75251
KAZN               1   14219646   15444544     20      14  1740000      0.73731      0.23047
TMEM51             1   15479028   15546974      3       2  1740000       1.1582      0.12338
FHAD1              1   15573730   15724767     13       9  1740000       0.2766      0.39104
EFHD2              1   15736391   15756839      1       1  1740000     -0.33477       0.6311
CTRC               1   15764938   15773153      2       1  1740000      -1.1546      0.87588
CELA2A             1   15783223   15798586      5       3  1740000      0.63122      0.26395
CELA2B             1   15802596   15817895      5       3  1740000     -0.29123      0.61456
CASP9              1   15817896   15851407      9       4  1740000     -0.93544      0.82522
DNAJC16            1   15853343   15898228      7       4  1740000     -0.45435      0.67521
AGMAT              1   15898194   15911605      6       3  1740000      0.63227      0.26361
DDI2               1   15943953   15995539      3       2  1740000      0.51036       0.3049
RSC1A1             1   15986364   15988217      3       2  1740000      0.51036       0.3049
PLEKHM2            1   16010632   16061264     12       8  1740000     0.013873      0.49447
SLC25A34           1   16062721   16067884     11       8  1740000     -0.57857      0.71856
TMEM82             1   16068987   16074292      8       5  1740000      -1.2516      0.89464
FBLIM1             1   16083107   16113089      4       2  1740000       2.7221    0.0032432
UQCRHL             1   16133657   16134194      1       1  1740000     -0.25309       0.5999
SPEN               1   16174359   16266951     18      13  1740000     -0.52271      0.69941
ZBTB17             1   16268364   16302627     10       7  1740000    -0.086021      0.53428
C1ORF64            1   16330731   16333184      1       1  1740000      -1.2856       0.9007
HSPB7              1   16340523   16346084      8       5  1740000      -1.6344      0.94891
CLCNKA             1   16348486   16360548      9       6  1740000      0.33126      0.37022
CLCNKB             1   16370231   16383821      9       6  1740000      0.14807      0.44115
FAM131C            1   16384264   16400127      7       4  1740000      0.46995      0.31919
EPHA2              1   16450832   16482582     12       9  1740000       0.4886      0.31256
ARHGEF19           1   16524599   16539104     10       5  1740000    -0.018391      0.50734
RSG1               1   16558182   16563659      3       2  1740000      0.11377      0.45471
FBXO42             1   16573339   16678965      2       1  1740000      0.86605      0.19323
SZRD1              1   16693525   16724643      2       1  1740000       1.7552     0.039611
SPATA21            1   16722101   16763919      6       4  1740000       2.4622    0.0069041
NECAP2             1   16767167   16786585      3       2  1740000      -1.5875       0.9438
CROCC              1   17248445   17299474     18      12  1740000    -0.059702       0.5238
MFAP2              1   17300997   17308081     14      10  1740000      0.22442      0.41122
ATP13A2            1   17312453   17338467     11       6  1740000      0.88126      0.18909
SDHB               1   17345217   17380665      1       1  1740000       1.0511       0.1466
PADI2              1   17393256   17445948      7       5  1740000       2.0768     0.018911
PADI1              1   17531621   17572501      6       3  1740000        -1.12      0.86865
PADI3              1   17575593   17610728     12       8  1740000       1.1942       0.1162
PADI4              1   17634690   17690495     17       8  1740000      0.62586       0.2657
RCC2               1   17733251   17766250      4       2  1740000      -1.9485      0.97432
ARHGEF10L          1   17846693   18024370     13       9  1740000      -1.2097       0.8868
ACTL8              1   18081808   18153558      6       3  1740000       0.7521      0.22599
IGSF21             1   18434240   18704977      7       4  1740000       0.2126      0.41582
KLHDC7A            1   18807424   18812540     12       5  1740000      0.69766      0.24269
PAX7               1   18957500   19075360      6       3  1740000      0.25325      0.40004
TAS1R2             1   19166093   19186155      9       5  1740000      -0.8144      0.79229
ALDH4A1            1   19197924   19229293      9       6  1740000       0.4953      0.31019
IFFO2              1   19230774   19282826      2       1  1740000       -0.545      0.70712
UBR4               1   19401000   19536812     11       8  1740000       1.7641     0.038861
EMC1               1   19542158   19578053      7       4  1740000        1.679     0.046575
MRTO4              1   19578075   19586622      4       2  1740000       1.3639     0.086297
AKR7A3             1   19609057   19615280      1       1  1740000     0.099678       0.4603
AKR7A2             1   19629202   19638640      3       2  1740000     -0.19878      0.57878
PQLC2              1   19638740   19658925      6       4  1740000      0.78674      0.21572
CAPZB              1   19665267   19812066      4       2  1740000       1.4282      0.07661
MINOS1-NBL1        1   19923471   19984949      1       1  1740000      -1.5779       0.9427
NBL1               1   19969723   19984949      1       1  1740000      -1.5779       0.9427
HTR6               1   19991780   20006055      3       2  1740000       1.2971     0.097306
TMCO4              1   20008706   20126424     10       7  1740000       2.8895    0.0019292
RNF186             1   20140522   20141771      6       4  1740000     0.073465      0.47072
OTUD3              1   20208356   20239438      5       3  1740000     -0.44267        0.671
PLA2G2E            1   20246800   20250110      2       1  1740000     0.055833      0.47774
PLA2G2A            1   20301924   20306932      4       2  1740000       2.0444     0.020458
PLA2G5             1   20386157   20418394      2       1  1740000       0.5288      0.29847
PLA2G2D            1   20439143   20446059      3       2  1740000      0.44786      0.32713
PLA2G2F            1   20465823   20476879      2       1  1740000       1.0972      0.13628
PLA2G2C            1   20490484   20501687      3       1  1740000     -0.19332      0.57664
UBXN10             1   20512578   20522540      1       1  1740000      0.20343       0.4194
VWA5B1             1   20617412   20681662     16      10  1740000       1.9737     0.024209
MUL1               1   20825941   20834674      2       1  1740000      -1.1756      0.88012
FAM43B             1   20878932   20881513      1       1  1740000     -0.66008       0.7454
CDA                1   20915444   20945401      1       1  1740000       2.6292     0.004279
PINK1              1   20959948   20978004     11       7  1740000      0.26316      0.39621
DDOST              1   20978260   20988037     11       7  1740000     -0.12369      0.54922
KIF17              1   20990475   21044317     18      13  1740000     -0.74459      0.77174
SH2D5              1   21046225   21059133      5       3  1740000    -0.059407      0.52369
HP1BP3             1   21069170   21113808      1       1  1740000      0.44434       0.3284
EIF4G3             1   21132785   21503381      7       5  1740000      -1.0389      0.85057
ECE1               1   21543740   21672034      4       2  1740000      0.45597      0.32421
NBPF3              1   21766583   21811393      5       2  1740000      0.85443      0.19643
ALPL               1   21835475   21904905      3       2  1740000       1.0471      0.14753
RAP1GAP            1   21922708   21996010      6       4  1740000      -1.0132      0.84452
USP48              1   22004791   22109688      4       2  1740000     0.012388      0.49506
LDLRAD2            1   22138758   22151714     18      13  1740000     -0.31309      0.62289
HSPG2              1   22148737   22263750     57      33  1740000     -0.21374      0.58463
CELA3B             1   22303418   22315847      1       1  1740000     -0.51036       0.6951
WNT4               1   22443798   22470474      1       1  1740000     -0.22574       0.5893
ZBTB40             1   22778344   22857650      7       4  1740000    -0.024814       0.5099
EPHA8              1   22890004   22930087     10       6  1740000      -0.3937       0.6531
C1QA               1   22963118   22966175      3       2  1740000     -0.37524      0.64626
C1QC               1   22969969   22974603      3       2  1740000     -0.37524      0.64626
C1QB               1   22979682   22988130      2       1  1740000    -0.095487      0.53804
EPHB2              1   23037263   23241823      5       3  1740000      -1.6619      0.95174
KDM1A              1   23345937   23410184      9       3  1740000     -0.26458      0.60433
LUZP1              1   23410516   23504301      8       4  1740000     -0.28218       0.6111
HTR1D              1   23518388   23521222      2       1  1740000     -0.10167      0.54049
HNRNPR             1   23635953   23671143      1       1  1740000       1.7146      0.04321
TCEA3              1   23707555   23751269      6       4  1740000     -0.93758      0.82577
ASAP3              1   23755056   23810750      7       5  1740000     -0.74516      0.77191
E2F2               1   23832920   23857712      8       6  1740000      -1.4006      0.91933
ID3                1   23884421   23886285      2       1  1740000     -0.35174      0.63748
TCEB3              1   24069856   24088549      7       5  1740000      0.22503      0.41098
PITHD1             1   24104876   24114722      1       1  1740000     -0.12137       0.5483
LYPLA2             1   24117275   24122029      1       1  1740000     -0.12137       0.5483
GALE               1   24122089   24127294      1       1  1740000     -0.12137       0.5483
HMGCL              1   24128367   24165110      1       1  1740000     -0.12137       0.5483
FUCA1              1   24171567   24194859     10       6  1740000      -1.1687      0.87873
CNR2               1   24197005   24285549      8       5  1740000      -1.3616      0.91333
MYOM3              1   24382531   24438665     22      11  1740000       1.9507     0.025544
IL22RA1            1   24446261   24469783      4       2  1740000     0.084782      0.46622
IFNLR1             1   24480647   24513765      4       2  1740000      0.72281       0.2349
GRHL3              1   24645812   24690972     15      10  1740000      0.31396      0.37678
STPG1              1   24683489   24741587     13       8  1740000       1.0853       0.1389
NIPAL3             1   24742245   24799473      1       1  1740000       1.5011      0.06667
RCAN3              1   24828841   24863510      3       2  1740000      -2.1624      0.98471
SRRM1              1   24969594   24999772      2       1  1740000      0.24577      0.40293
CLIC4              1   25071760   25170815      1       1  1740000      0.26813       0.3943
RUNX3              1   25226002   25291648      4       2  1740000       2.1802     0.014621
SYF2               1   25548767   25559013      2       1  1740000       1.3769     0.084266
RSRP1              1   25568740   25574010      6       4  1740000      -1.0619      0.85585
RHD                1   25598884   25656936      2       1  1740000     0.034602       0.4862
TMEM50A            1   25664789   25688852      2       1  1740000     -0.36899      0.64393
RHCE               1   25687853   25747363      2       1  1740000       1.3728     0.084903
TMEM57             1   25757388   25826700      2       1  1740000    -0.081597      0.53252
LDLRAP1            1   25870071   25895377      3       2  1740000      -0.6122       0.7298
MAN1C1             1   25943959   26111258      5       3  1740000     -0.53355      0.70317
SEPN1              1   26126667   26144713      4       2  1740000     0.068021      0.47288
MTFR1L             1   26146397   26159433      5       3  1740000     -0.20488      0.58117
AUNIP              1   26158414   26185939      6       4  1740000      -0.4236      0.66407
PAQR7              1   26187975   26202461      4       2  1740000     0.084482      0.46634
STMN1              1   26210670   26233368      1       1  1740000      0.55076       0.2909
PAFAH2             1   26286258   26326366      4       2  1740000     0.054086      0.47843
EXTL1              1   26348266   26362955      9       6  1740000      0.47135      0.31869
SLC30A2            1   26364513   26373439      4       2  1740000       1.9274     0.026964
TRIM63             1   26377792   26394142      2       1  1740000       1.8739     0.030474
PDIK1L             1   26437656   26452039      1       1  1740000       1.9483      0.02569
CNKSR1             1   26503981   26516375     14       8  1740000       3.3305   0.00043352
CATSPER4           1   26517119   26529033     17       9  1740000       3.5647   0.00018212
CEP85              1   26560644   26605529      9       6  1740000      0.84236      0.19979
SH3BGRL3           1   26606213   26608013      5       3  1740000     -0.40804      0.65838
UBXN11             1   26608773   26644756     16      11  1740000      0.72951      0.23285
CD52               1   26644411   26647014      8       5  1740000       1.6355     0.050974
AIM1L              1   26648350   26680621     23      13  1740000       2.0913     0.018252
ZNF683             1   26688125   26701023      5       3  1740000       1.8486     0.032254
LIN28A             1   26737269   26756219      1       1  1740000       1.3196      0.09348
DHDDS              1   26758773   26797797      1       1  1740000      0.31047       0.3781
RPS6KA1            1   26856249   26901520      4       2  1740000      0.25964      0.39757
ARID1A             1   27022522   27108601      3       2  1740000      -1.9593      0.97496
PIGV               1   27113739   27124894      4       2  1740000      -2.0047       0.9775
ZDHHC18            1   27153201   27184092      1       1  1740000     -0.73951       0.7702
SFN                1   27189633   27190947      1       1  1740000     -0.73951       0.7702
GPN2               1   27205872   27216869      5       3  1740000      0.10698       0.4574
GPATCH3            1   27216979   27226962      5       3  1740000      0.10698       0.4574
NR0B2              1   27237975   27240567      1       1  1740000     -0.37912       0.6477
NUDC               1   27248187   27273362      4       2  1740000     -0.15187      0.56036
KDF1               1   27276047   27286901      3       2  1740000     0.043792      0.48254
TRNP1              1   27320189   27327377      2       1  1740000      0.22614      0.41055
FAM46B             1   27331511   27339333      2       1  1740000      0.22614      0.41055
SLC9A1             1   27425300   27481621      2       1  1740000       1.4285     0.076573
WDTC1              1   27561007   27635124      1       1  1740000       -1.705       0.9559
TMEM222            1   27648636   27662891      3       2  1740000      -1.4652      0.92856
SYTL1              1   27668483   27680423     10       7  1740000       0.3462      0.36459
MAP3K6             1   27681670   27693558     12       9  1740000      0.95536       0.1697
FCN3               1   27695601   27701315      9       6  1740000       1.4251     0.077065
CD164L2            1   27705596   27709823      4       2  1740000     0.057184       0.4772
GPR3               1   27719148   27722318      2       1  1740000      0.33734      0.36793
WASF2              1   27730734   27816678      4       2  1740000      -1.0925      0.86269
AHDC1              1   27860756   27930463     11       8  1740000     -0.49609      0.69009
FGR                1   27938800   27961727      4       2  1740000       -1.329      0.90807
FAM76A             1   28052490   28089426      1       1  1740000       1.0916       0.1375
THEMIS2            1   28199055   28213196      3       2  1740000      0.45288      0.32532
RPA2               1   28218035   28241255      4       2  1740000     -0.72097      0.76454
SMPDL3B            1   28261456   28285663      7       5  1740000       1.1973       0.1156
XKR8               1   28286504   28294604      5       3  1740000       1.2987     0.097023
EYA3               1   28296855   28415173      1       1  1740000       1.4457      0.07413
PTAFR              1   28473677   28520447      1       1  1740000     -0.22446       0.5888
DNAJC8             1   28526789   28559542      1       1  1740000      0.68967       0.2452
ATPIF1             1   28562602   28564616      1       1  1740000      0.68967       0.2452
SESN2              1   28585963   28609002      1       1  1740000     -0.57898       0.7187
MED18              1   28655513   28662478      2       1  1740000      0.54159      0.29405
PHACTR4            1   28696093   28826881      6       4  1740000     -0.76832      0.77885
TRNAU1AP           1   28879529   28905057      1       1  1740000     -0.45404       0.6751
TAF12              1   28929608   28975416      1       1  1740000    -0.025069         0.51
GMEB1              1   28995234   29042115      1       1  1740000       0.8976       0.1847
YTHDF2             1   29063133   29096287      1       1  1740000       1.0382       0.1496
OPRD1              1   29138654   29190208      3       2  1740000      -1.2547       0.8952
EPB41              1   29213603   29446558      1       1  1740000      0.77897        0.218
SRSF4              1   29474250   29508637      4       2  1740000    -0.088283      0.53517
MECR               1   29519385   29557460      6       3  1740000      0.81895      0.20641
PTPRU              1   29563028   29653325      7       5  1740000        2.197     0.014009
MATN1              1   31184124   31196432      2       1  1740000      0.64555      0.25928
LAPTM5             1   31205315   31230683      3       2  1740000      0.12363       0.4508
SDC3               1   31342313   31381480      5       3  1740000     -0.84288      0.80035
PUM1               1   31404353   31538838      4       2  1740000      0.12593      0.44989
NKAIN1             1   31652592   31712734      4       2  1740000    -0.020589      0.50821
SNRNP40            1   31732415   31769644      2       1  1740000      0.33022      0.37062
ZCCHC17            1   31769832   31838569      3       1  1740000     -0.41691      0.66163
FABP3              1   31838100   31845923      1       1  1740000      0.85962        0.195
SERINC2            1   31882412   31907527      9       6  1740000     -0.89834       0.8155
TINAGL1            1   32042086   32053290      1       1  1740000     -0.16264       0.5646
HCRTR1             1   32083290   32093214     10       7  1740000      0.61033      0.27082
PEF1               1   32095463   32110838      9       6  1740000    -0.032832       0.5131
COL16A1            1   32117848   32169768     19      12  1740000      0.53317      0.29696
ADGRB2             1   32192718   32230494      4       2  1740000      -1.6028      0.94551
SPOCD1             1   32256023   32281630     15       8  1740000       1.0109      0.15603
TMEM39B            1   32538503   32568467      2       1  1740000      -1.4361      0.92451
KPNA6              1   32573644   32642169      3       2  1740000     -0.73014      0.76735
TXLNA              1   32645293   32663886     12       8  1740000    0.0015344      0.49939
CCDC28B            1   32666202   32670991     13      10  1740000    -0.072879      0.52905
IQCC               1   32671236   32674288     15      11  1740000       0.6621      0.25395
DCDC2B             1   32674695   32681797     16      12  1740000      0.43316      0.33245
TMEM234            1   32680040   32687954     13      10  1740000      0.74672      0.22762
EIF3I              1   32687971   32697205      4       2  1740000       1.2391      0.10765
FAM167B            1   32712818   32714461      1       1  1740000     -0.83663       0.7986
LCK                1   32716840   32751766      1       1  1740000     -0.83663       0.7986
TSSK3              1   32818365   32830098      1       1  1740000      -1.3787        0.916
FAM229A            1   32826871   32827844      1       1  1740000      -1.3787        0.916
BSDC1              1   32830704   32860062      3       2  1740000      -2.3491      0.99059
ZBTB8B             1   32930658   32953460      1       1  1740000      -1.9284       0.9731
ZBTB8A             1   33004772   33071542      4       2  1740000       1.6376     0.050758
ZBTB8OS            1   33086421   33116565      2       1  1740000     -0.29686      0.61671
RBBP4              1   33116749   33151812      5       2  1740000       1.5027     0.066454
SYNC               1   33145507   33168361      4       2  1740000       1.6437     0.050114
KIAA1522           1   33207492   33240571      7       5  1740000      0.43595      0.33144
YARS               1   33240840   33283633      9       6  1740000     -0.11504      0.54579
S100PBP            1   33282368   33324480      2       1  1740000      -1.4403       0.9251
HPCA               1   33351688   33360247      3       2  1740000      -0.6971      0.75713
TMEM54             1   33360196   33367041      2       1  1740000    -0.016393      0.50654
RNF19B             1   33402050   33430467      1       1  1740000      0.25956       0.3976
AK2                1   33473541   33502512      1       1  1740000     -0.73359       0.7684
AZIN2              1   33546711   33586132      5       3  1740000     -0.67206      0.74923
TRIM62             1   33611000   33647671      2       1  1740000      0.73468      0.23127
ZNF362             1   33721908   33766321      1       1  1740000      -1.5946       0.9446
A3GALT2            1   33772367   33786699      2       1  1740000      -1.7259      0.95782
PHC2               1   33789224   33841194      5       3  1740000      0.32912      0.37103
ZSCAN20            1   33938232   33962105      9       6  1740000     -0.25683      0.60135
CSMD2              1   33979609   34631443     31      24  1740000      0.94858      0.17142
HMGB4              1   34326076   34330392      4       2  1740000      0.47607      0.31701
C1ORF94            1   34632624   34684732      8       4  1740000     -0.40014      0.65547
GJB5               1   35220648   35224113      6       4  1740000      0.33181      0.37002
GJB4               1   35225342   35229325      6       4  1740000      0.33181      0.37002
GJB3               1   35246790   35251967      4       2  1740000     -0.88678       0.8124
GJA4               1   35258559   35261351      4       2  1740000     -0.88678       0.8124
DLGAP3             1   35331037   35391083      2       1  1740000       1.5072     0.065875
ZMYM6NB            1   35447127   35450948      4       2  1740000      0.45976      0.32285
ZMYM6              1   35451766   35497569      5       3  1740000      0.17719      0.42968
